City,Lat,Lng,Temp,Wind Speed,Humidity,Cloudiness,Description,Country
Los Llanos de Aridane,28.6585,-17.9183,62.6,12.75,63,8,sky is clear,ES
Merauke,-8.4903,140.3956,78.48,18.81,100,92,moderate rain,ID
Doha,25.2856,51.5264,67.96,2.24,88,76,haze,QA
Santa Cruz,36.9742,-122.0298,61.38,3.36,80,1,sky is clear,US
Moerai,-22.4334,-151.3334,77.81,26.19,100,92,light rain,PF
Orikum,40.326,19.4741,54.41,6.17,100,64,light rain,AL
Angoche,-16.2293,39.9081,81.23,12.33,100,68,broken clouds,MZ
Kununurra,-15.7731,128.7388,91.4,13.87,55,88,overcast clouds,AU
Mana,43.5213,20.2353,32.0,2.15,76,40,fog,RS
Pundaguitan,6.3711,126.1689,77.18,12.33,100,100,light rain,PH
Gemena,3.2549,19.7751,72.77,3.15,89,12,few clouds,CD
Gueugnon,46.6005,4.0634,30.2,3.36,86,20,few clouds,FR
Kieta,-6.2167,155.6333,84.47,2.82,95,32,scattered clouds,PG
Srednekolymsk,67.4555,153.7071,-33.75,2.48,61,0,Sky is Clear,RU
Sur,22.5702,59.5299,67.95,10.76,100,8,sky is clear,OM
Esperance,10.2447,-61.4506,75.2,3.36,88,20,few clouds,TT
Misawa,40.75,141.3829,33.8,6.93,64,75,broken clouds,JP
Omboue,-1.5747,9.2618,82.13,6.17,100,92,light rain,GA
Iqaluit,63.7494,-68.5219,-11.21,17.22,69,40,scattered clouds,CA
Atasu,48.6814,71.6433,-2.66,14.23,59,0,Sky is Clear,KZ
Velingara,13.6371,-16.0079,77.0,7.18,47,0,Sky is Clear,SN
Aden,12.7896,45.0285,77.22,23.29,97,12,few clouds,YE
Qaqortoq,60.7167,-46.0334,10.4,11.41,46,0,Sky is Clear,GL
Sovetskiy,56.763,48.4743,-0.72,6.85,78,0,Sky is Clear,RU
Simpang,4.8185,100.7064,78.87,1.12,94,75,broken clouds,MY
Hovd,63.8339,10.6972,24.8,20.8,73,75,proximity shower rain,NO
Ixtapa,20.715,-105.2067,75.2,6.93,78,40,scattered clouds,MX
Bira,49.0016,132.4662,-8.15,2.71,60,12,few clouds,RU
Rauma,61.1289,21.5039,19.4,12.75,85,92,light snow,FI
Alekseyevsk,57.8406,108.3492,-4.46,7.52,51,32,scattered clouds,RU
Saint-Michel-des-Saints,46.6786,-73.9177,-9.41,4.61,49,12,few clouds,CA
Poum,41.2813,20.7117,37.22,1.59,100,92,light rain,MK
Tasiilaq,65.6145,-37.6368,21.2,10.29,73,80,broken clouds,GL
Pochutla,15.7432,-96.4661,79.81,7.63,78,75,broken clouds,MX
Baruun-Urt,46.6808,113.2846,-0.63,8.63,69,56,broken clouds,MN
Vydrino,51.4634,104.6426,-2.52,6.73,69,36,scattered clouds,RU
Bambous Virieux,-20.3428,57.7575,77.0,4.7,88,75,broken clouds,MU
Itarema,-2.9248,-39.9167,77.99,10.2,88,0,Sky is Clear,BR
Angoram,-4.0563,144.0729,80.15,3.04,88,68,broken clouds,PG
Rabat,34.0224,-6.8346,52.61,2.24,81,40,scattered clouds,MA
Eyl,7.9808,49.8184,75.29,15.35,93,56,broken clouds,SO
Micheweni,-4.9667,39.8333,81.0,10.76,100,56,broken clouds,TZ
Rawson,-43.2992,-65.1057,86.13,10.65,21,0,Sky is Clear,AR
Katsuura,33.9258,134.505,41.83,16.11,52,40,scattered clouds,JP
Mount Isa,-20.729,139.4932,82.4,10.29,74,75,broken clouds,AU
Santiago de Cao,-7.9605,-79.2381,77.0,5.82,69,90,haze,PE
Okhotsk,59.3644,143.2411,-24.17,7.63,100,0,Sky is Clear,RU
Bismarck,46.8083,-100.7838,6.62,16.11,65,20,few clouds,US
Villamontes,-21.2587,-63.4727,75.11,2.93,82,0,Sky is Clear,BO
Ucluelet,48.9414,-125.5491,41.4,2.59,85,48,scattered clouds,CA
Haines Junction,60.7527,-137.5101,4.77,2.15,77,36,scattered clouds,CA
Campobasso,41.5598,14.6603,31.01,1.25,90,36,scattered clouds,IT
Oriximina,-1.7656,-55.8662,78.8,4.61,87,44,scattered clouds,BR
Hualmay,-11.0968,-77.613,72.95,3.49,78,48,scattered clouds,PE
Tariba,7.8188,-72.2243,82.4,3.36,69,40,scattered clouds,VE
Alta Floresta,-9.8716,-56.084,72.0,2.37,98,68,moderate rain,BR
Klyuchi,52.2549,79.1714,-23.63,7.4,36,0,Sky is Clear,RU
Chegdomyn,51.1345,133.0356,-15.48,3.94,64,32,scattered clouds,RU
Whitehorse,60.7216,-135.055,12.2,28.86,85,75,broken clouds,CA
Arica,-18.4786,-70.3211,74.1,2.24,73,0,Sky is Clear,CL
Sorland,67.667,12.6934,32.18,20.71,100,64,broken clouds,NO
Yarada,17.65,83.2667,69.8,8.05,64,20,haze,IN
Kropotkin,45.4344,40.575,32.27,3.38,100,88,overcast clouds,RU
Sidi Ali,36.0998,0.4206,50.81,7.74,77,48,scattered clouds,DZ
Kahului,20.8894,-156.4728,73.94,23.04,46,40,scattered clouds,US
Punta Alta,-27.4624,-55.8245,86.0,5.82,62,64,broken clouds,AR
Beloha,-25.1739,45.0615,72.05,14.45,67,64,broken clouds,MG
Tabuk,17.4136,121.444,58.64,1.25,94,76,broken clouds,PH
Te Anau,-45.4145,167.7175,66.92,3.83,71,68,broken clouds,NZ
Derzhavinsk,51.0991,66.3139,0.9,16.02,72,64,broken clouds,KZ
Cockburn Town,21.4612,-71.1419,78.89,11.65,98,12,few clouds,TC
Anda,46.4114,125.3286,10.35,15.46,60,32,scattered clouds,CN
Zhoucheng,31.3538,119.3274,41.0,6.71,86,90,mist,CN
Codrington,-28.9484,153.2428,88.36,10.29,38,40,scattered clouds,AU
Galveston,40.5789,-86.1903,18.41,19.46,92,90,light snow,US
Alofi,-19.0596,-169.9187,84.2,10.29,58,40,scattered clouds,NU
Bereda,43.2686,-7.5406,50.0,8.05,81,92,light rain,ES
Hambantota,6.1241,81.1185,69.8,5.82,100,5,sky is clear,LK
Ylivieska,64.0729,24.5327,6.93,8.19,77,88,overcast clouds,FI
Xacmaz,41.4635,48.806,34.25,3.71,100,92,light rain,AZ
Kaitangata,-46.2818,169.8464,71.33,4.38,90,20,few clouds,NZ
Moyamba,8.1593,-12.4314,75.92,5.39,74,0,Sky is Clear,SL
Otofuke,43.0174,143.203,29.5,17.22,74,75,broken clouds,JP
Sitka,37.175,-99.6516,34.47,17.25,46,48,scattered clouds,US
Chara,39.4167,22.4309,41.0,3.36,93,20,few clouds,GR
Kinkala,-4.347,14.7549,78.8,2.24,78,56,broken clouds,CG
Kreminna,49.0463,38.2179,17.37,3.15,88,20,few clouds,UA
Grand Gaube,-20.0064,57.6608,77.0,4.7,88,75,broken clouds,MU
Mehamn,71.035,27.8517,-3.47,5.61,100,0,Sky is Clear,NO
Ikungi,-5.1346,34.7713,63.95,8.08,90,56,broken clouds,TZ
Awjilah,29.1403,21.2975,51.03,12.33,37,56,broken clouds,LY
Port-Gentil,-0.7194,8.7815,80.87,5.95,98,64,light rain,GA
Naustdal,61.5094,5.7154,30.2,11.41,92,88,overcast clouds,NO
Iquitos,-3.749,-73.2459,78.8,4.72,88,40,scattered clouds,PE
Ulladulla,-35.3622,150.4752,86.0,9.17,58,0,Sky is Clear,AU
Tiznit,29.6986,-9.7313,49.77,3.27,91,0,Sky is Clear,MA
Kalmunai,7.4167,81.8167,66.38,5.17,96,0,Sky is Clear,LK
Airai,-8.9266,125.4092,76.32,1.92,79,44,light rain,TL
Sacramento,38.5816,-121.4944,59.2,3.38,67,1,haze,US
Port Blair,11.6667,92.75,82.22,12.66,100,0,Sky is Clear,IN
Gazojak,41.1875,61.4036,40.73,2.93,84,92,overcast clouds,TM
Rock Hill,34.9249,-81.0251,45.01,4.7,64,75,broken clouds,US
Catalao,-18.1659,-47.9464,71.73,3.38,74,0,Sky is Clear,BR
Baykalsk,51.5226,104.1491,-2.52,6.73,69,36,scattered clouds,RU
Morro Bay,35.3658,-120.85,62.04,4.7,77,75,broken clouds,US
Christchurch,-43.531,172.6366,69.8,16.11,73,36,scattered clouds,NZ
Breves,-1.6823,-50.4803,78.3,4.61,94,56,broken clouds,BR
Aleksandrov Gay,50.1425,48.5684,16.43,7.74,93,92,overcast clouds,RU
Talnakh,69.494,88.3908,-42.35,2.71,0,0,Sky is Clear,RU
San Rafael,-34.6127,-68.3306,86.67,6.4,28,0,Sky is Clear,AR
Saldanha,41.4184,-6.5524,35.37,6.62,90,0,Sky is Clear,PT
Omsukchan,62.5333,155.8,-41.18,2.59,0,32,scattered clouds,RU
Adrar,27.8734,-0.2875,50.0,5.82,37,0,Sky is Clear,DZ
Ola,59.5781,151.2991,-8.55,7.29,100,24,few clouds,RU
Prince Rupert,54.3161,-130.3202,37.4,2.24,93,1,sky is clear,CA
Coquimbo,-29.9532,-71.3381,64.4,4.7,77,0,Sky is Clear,CL
Marrakesh,31.626,-7.9887,48.2,9.17,81,0,Sky is Clear,MA
Paracatu,-17.2175,-46.8708,73.58,3.49,79,24,few clouds,BR
Hami,42.8354,93.5128,18.86,0.13,87,92,overcast clouds,CN
Dalby,-27.1823,151.2634,84.2,16.11,39,40,scattered clouds,AU
Paso del Macho,18.971,-96.7268,68.0,6.4,82,75,broken clouds,MX
Najran,17.544,44.2247,62.6,2.93,29,5,sky is clear,SA
Yantal,56.8461,105.2493,-8.69,8.19,47,32,scattered clouds,RU
Urubamba,-13.3063,-72.1155,57.2,1.36,54,75,broken clouds,PE
Vostochnyy,55.8167,37.8667,21.2,6.71,92,90,light snow,RU
Meulaboh,4.1363,96.1285,76.05,0.13,100,56,light rain,ID
Soyo,-6.1334,12.3718,78.26,2.71,90,68,broken clouds,AO
Vostok,46.448,135.8294,6.12,2.82,77,56,broken clouds,RU
Pocone,-16.2567,-56.6228,74.93,3.94,86,76,broken clouds,BR
Lorengau,-2.0226,147.2712,83.97,9.86,97,80,broken clouds,PG
Vao,59.1018,26.1904,16.47,12.33,86,88,overcast clouds,EE
Vidim,50.4679,14.5258,34.84,13.87,86,40,scattered clouds,CZ
Urbano Santos,-3.2037,-43.393,78.57,10.98,85,12,few clouds,BR
Souillac,45.6006,-0.6,35.83,2.24,100,20,mist,FR
Nemuro,43.3236,145.575,28.4,16.11,86,90,shower snow,JP
Meshchovsk,54.3176,35.2852,23.27,6.4,90,92,overcast clouds,RU
Itoman,26.1247,127.6694,64.09,13.87,55,20,few clouds,JP
Trzic,46.3636,14.3105,30.2,5.82,100,75,fog,SI
Kenai,60.5544,-151.2584,33.08,24.16,95,90,light snow,US
Paracuru,-3.4144,-39.0301,80.6,5.82,83,20,few clouds,BR
Napuro,12.0264,124.7096,73.94,10.42,92,0,Sky is Clear,PH
Oberhausen,51.4696,6.8514,33.8,10.29,91,75,broken clouds,DE
Isangel,-19.55,169.2667,79.07,13.67,100,64,broken clouds,VU
Chulman,56.8404,124.9047,-14.18,2.59,78,68,broken clouds,RU
Eyrarbakki,63.863,-21.1482,23.0,11.41,67,0,Sky is Clear,IS
Orebro,59.2741,15.2066,28.4,6.93,92,90,light snow,SE
Cairns,-16.9205,145.7719,78.8,11.41,100,90,light intensity shower rain,AU
Half Moon Bay,37.4636,-122.4286,61.21,12.75,71,75,broken clouds,US
Aksarka,66.5606,67.7975,-17.69,4.94,77,64,broken clouds,RU
Rio Cuarto,-33.1307,-64.35,80.6,10.29,83,0,Sky is Clear,AR
Lagoa,37.1363,-8.4541,51.8,12.75,93,0,Sky is Clear,PT
Sumbe,-11.202,13.8397,76.82,3.6,100,24,few clouds,AO
Bilibino,68.055,166.4449,-30.74,2.37,49,48,scattered clouds,RU
Harlingen,26.1906,-97.6962,65.77,5.82,72,75,broken clouds,US
Sharjah,25.3585,55.3895,71.1,8.05,49,0,Sky is Clear,AE
Bathsheba,13.2167,-59.5167,77.0,13.87,73,20,few clouds,BB
Hay River,60.8156,-115.7867,-20.21,8.05,75,40,scattered clouds,CA
Rehoboth,-23.3149,17.0812,60.8,6.73,56,0,Sky is Clear,NA
Tocopilla,-22.092,-70.198,68.13,3.71,85,12,few clouds,CL
Lazaro Cardenas,28.3905,-105.6235,62.6,8.05,18,40,scattered clouds,MX
Portobelo,9.55,-79.6501,79.68,8.05,65,40,scattered clouds,PA
Manicore,-5.8092,-61.3003,78.3,2.37,88,32,scattered clouds,BR
Vanavara,60.3452,102.2809,-9.86,6.51,51,36,scattered clouds,RU
Ishurdi,24.1286,89.0653,60.62,8.97,76,100,overcast clouds,BD
Roald,62.5838,6.1242,29.93,16.11,100,64,broken clouds,NO
Ekibastuz,51.7229,75.317,-24.12,3.94,36,0,Sky is Clear,KZ
Luganville,-15.5122,167.1784,79.38,8.97,100,80,light rain,VU
Jacareacanga,-6.2243,-57.7609,74.88,3.71,96,80,moderate rain,BR
Aldan,58.6084,125.3882,-5.99,3.49,81,76,broken clouds,RU
Victoria,5.2785,115.2423,83.39,6.93,78,75,broken clouds,BN
Cabo San Lucas,22.8938,-109.9112,72.57,6.93,64,40,scattered clouds,MX
Nkhotakota,-12.927,34.2967,69.57,3.38,100,88,overcast clouds,MW
Vardo,39.6165,-77.7392,29.64,4.7,38,1,sky is clear,US
Fare,-16.7001,-151.0167,79.61,25.52,100,76,broken clouds,PF
Sosnovoborsk,56.1215,93.3387,-0.41,17.9,70,40,light snow,RU
Rocha,-34.4811,-54.3366,72.95,2.15,97,44,moderate rain,UY
Noumea,-22.2764,166.4572,87.8,23.04,48,0,Sky is Clear,NC
Linxia,35.5959,103.2108,12.38,2.04,82,88,overcast clouds,CN
Vikhorevka,56.1247,101.172,-14.81,8.95,75,40,scattered clouds,RU
Richards Bay,-28.7745,32.0555,68.54,8.86,83,12,few clouds,ZA
Staveley,53.2683,-1.3496,33.48,12.75,86,40,light rain,GB
Tucumcari,35.1719,-103.7251,35.06,11.41,47,90,overcast clouds,US
Banjar,-7.3694,108.5417,72.86,3.49,92,32,scattered clouds,ID
Mackay,53.65,-115.5834,23.0,2.71,67,1,sky is clear,CA
Saint-Georges,46.123,-70.672,-3.47,2.59,49,0,Sky is Clear,CA
Kupang,-10.1633,123.6018,86.0,6.93,74,40,scattered clouds,ID
Kushiro,43.1128,144.1501,30.2,18.34,92,90,shower snow,JP
Sabang,13.7234,123.5828,74.93,13.22,87,80,broken clouds,PH
Touros,-5.1989,-35.4609,80.6,5.82,83,40,scattered clouds,BR
Great Falls,47.5049,-111.2919,18.55,4.7,73,1,sky is clear,US
Bulungu,-4.5359,18.6005,75.42,3.38,94,68,broken clouds,CD
Ballina,54.1143,-9.1533,40.23,10.98,100,68,light rain,IE
New Glasgow,45.5869,-62.6484,19.4,9.75,72,8,sky is clear,CA
Maumere,-8.6257,122.2193,81.23,11.99,99,92,overcast clouds,ID
Saint-Augustin,44.8323,-0.6091,41.18,2.24,93,75,fog,FR
Vila,45.1829,8.402,28.4,5.82,58,0,Sky is Clear,IT
North Bend,43.4065,-124.2243,53.06,3.36,73,1,sky is clear,US
Tual,-5.6667,132.75,82.13,19.6,100,68,light rain,ID
Baiyin,36.5459,104.1339,15.8,4.47,72,76,broken clouds,CN
Napier,-39.4909,176.9179,74.12,9.19,91,0,Sky is Clear,NZ
Nicoya,10.147,-85.4536,82.4,17.22,54,0,Sky is Clear,CR
Worthington,43.6205,-95.5957,2.08,13.87,82,1,sky is clear,US
Fairbanks,64.8378,-147.7167,22.62,3.15,87,90,light snow,US
Praxedis Guerrero,31.3667,-106.0167,60.8,4.72,19,20,haze,MX
Pipirig,47.2292,26.0829,26.6,11.41,100,90,fog,RO
Takoradi,4.8874,-1.752,80.87,9.64,100,12,few clouds,GH
Tuatapere,-46.1324,167.6908,68.72,10.2,66,0,Sky is Clear,NZ
Dicabisagan,17.0818,122.4157,70.47,11.99,100,56,broken clouds,PH
Gushikawa,26.3544,127.8686,64.15,12.75,62,40,scattered clouds,JP
Riyadh,24.632,46.7151,66.2,6.93,77,75,haze,SA
Salinopolis,-0.6137,-47.3562,77.36,10.09,100,92,light rain,BR
Shubarshi,48.5872,57.1869,25.2,10.42,90,92,overcast clouds,KZ
Tairua,-37.0167,175.85,81.68,4.61,61,12,few clouds,NZ
Avera,33.194,-82.5271,46.26,4.7,52,1,sky is clear,US
Manzanillo,20.3446,-77.119,78.17,13.33,99,100,light rain,CU
Turayf,31.6775,38.6531,41.0,11.41,100,40,scattered clouds,SA
Muravlenko,63.7948,74.4969,-2.25,15.68,72,64,broken clouds,RU
Gannan,47.9174,123.4926,5.9,8.63,64,8,sky is clear,CN
South Valley,35.01,-106.6781,41.49,9.17,30,20,few clouds,US
Tshikapa,-6.4231,20.7888,72.63,1.81,97,80,broken clouds,CD
Ilulissat,69.2167,-51.1,17.6,8.05,72,76,broken clouds,GL
Loding,48.0477,12.6782,33.8,12.75,80,75,light shower sleet,DE
Svetlaya,46.5389,138.3297,19.58,8.97,100,0,Sky is Clear,RU
Santa Maria da Vitoria,-13.3948,-44.1887,80.87,10.2,51,20,light rain,BR
Havoysund,70.9963,24.6622,10.4,14.99,78,0,Sky is Clear,NO
Katastarion,37.8333,20.7667,50.95,5.82,100,92,light rain,GR
Delray Beach,26.4615,-80.0729,52.0,4.7,92,40,scattered clouds,US
Santa Cruz del Sur,20.7147,-77.9956,68.09,10.42,100,100,light rain,CU
Orchard Homes,46.8633,-114.0485,21.92,1.48,67,1,sky is clear,US
Pierre,44.3683,-100.3512,14.0,9.17,63,90,overcast clouds,US
Sola,62.7816,29.3576,8.6,8.05,92,90,light snow,FI
Ipu,-4.3234,-40.7095,69.75,2.82,89,24,few clouds,BR
Maningrida,-12.0525,134.2267,83.3,17.69,94,48,light rain,AU
Chase,43.8892,-85.6357,14.0,3.36,85,90,light snow,US
San Juan,18.4653,-66.1167,75.02,5.82,81,20,few clouds,PR
Ibotirama,-12.183,-43.2182,77.58,8.3,72,8,light rain,BR
Karpogory,64.0018,44.4427,-10.13,3.27,71,0,Sky is Clear,RU
Belyy Yar,53.6039,91.3903,-0.41,4.47,70,75,light shower snow,RU
Salalah,17.0149,54.0957,73.4,3.36,73,20,few clouds,OM
San Jose,15.7917,120.9891,66.87,6.06,73,0,Sky is Clear,PH
Ponta Delgada,37.7333,-25.6667,57.2,1.12,76,40,scattered clouds,PT
Broome,52.4688,1.4544,27.21,6.93,86,0,Sky is Clear,GB
Mumbwa,-14.9851,27.0614,64.85,7.96,97,44,scattered clouds,ZM
Zagare,56.3592,23.25,19.4,12.75,100,90,light snow,LT
Goderich,43.7407,-81.7078,22.37,23.51,88,88,overcast clouds,CA
Loiza,18.4313,-65.8802,75.02,5.82,81,20,few clouds,PR
Vangaindrano,-23.3505,47.604,67.23,4.27,99,92,overcast clouds,MG
Sao Miguel do Araguaia,-13.275,-50.1628,77.9,0.81,84,56,broken clouds,BR
Lalin,45.2317,126.8639,14.0,11.18,56,8,smoke,CN
Tkibuli,42.3477,42.9981,46.4,4.7,93,90,overcast clouds,GE
Am Timan,11.0396,20.2826,74.7,10.98,19,0,Sky is Clear,TD
Umm Lajj,25.024,37.2669,53.1,10.2,100,0,Sky is Clear,SA
Wick,51.4534,-2.4254,32.11,5.82,85,20,few clouds,GB
Vilyuysk,63.7541,121.6265,-20.52,1.48,88,44,scattered clouds,RU
Huarmey,-10.0688,-78.1522,71.51,3.38,78,92,light rain,PE
Livingston,32.5843,-88.1873,54.1,6.4,68,90,overcast clouds,US
Porangatu,-13.4447,-49.1424,75.78,2.82,77,80,broken clouds,BR
Cap Malheureux,-19.9842,57.6142,77.0,4.7,88,75,broken clouds,MU
Tavrichanka,43.3267,131.8634,19.4,2.24,48,0,Sky is Clear,RU
Whittlesea,-37.5122,145.1177,91.4,18.34,22,0,Sky is Clear,AU
Vilhena,-12.7369,-60.1466,70.61,2.26,97,92,light rain,BR
Bubaque,11.2833,-15.8334,77.36,8.41,97,0,Sky is Clear,GW
Cocobeach,1.0053,9.5843,82.4,6.93,83,20,thunderstorm,GA
Emerald,-23.5264,148.1619,84.2,18.34,54,90,overcast clouds,AU
Hershey,40.2855,-76.6507,25.23,5.82,57,20,few clouds,US
